year,date,doy
1818,1818-03-16,74
1819,1819-04-01,90
1820,1820-04-06,96
1821,1821-04-10,99
1822,1822-03-17,75
1823,1823-04-04,93
1824,1824-04-20,110
1825,1825-04-06,95
1826,1826-03-29,87
1827,1827-04-09,98
1828,1828-04-04,94
1829,1829-04-06,95
1830,1830-03-29,87
1831,1831-03-31,89
1832,1832-04-04,94
1833,1833-04-10,99
1834,1834-03-13,71
1835,1835-04-07,96
1836,1836-03-26,85
1837,1837-04-20,109
1838,1838-04-08,97
1839,1839-04-06,95
1840,1840-04-14,104
1841,1841-03-25,83
1842,1842-04-11,100
1843,1843-03-25,83
1844,1844-04-03,93
1845,1845-04-09,98
1846,1846-03-24,82
1847,1847-04-03,92
1848,1848-04-01,91
1849,1849-04-07,96
1850,1850-04-10,99
1851,1851-04-07,96
1852,1852-04-07,97
1853,1853-04-18,107
1854,1854-04-03,92
1855,1855-04-12,101
1856,1856-03-26,85
1857,1857-04-03,92
1858,1858-04-05,94
1859,1859-03-18,76
1860,1860-04-06,96
1861,1861-03-30,88
1862,1862-03-28,86
1863,1863-04-04,93
1864,1864-04-02,92
1865,1865-04-11,100
1866,1866-03-31,89
1867,1867-03-24,82
1868,1868-04-03,93
1869,1869-04-08,97
1870,1870-04-10,99
1871,1871-03-27,85
1872,1872-03-28,87
1873,1873-03-27,85
1874,1874-03-31,89
1875,1875-04-04,93
1876,1876-03-28,87
1877,1877-03-31,89
1878,1878-04-05,94
1879,1879-03-28,86
1880,1880-03-20,79
1881,1881-03-19,77
1882,1882-03-15,73
1883,1883-04-03,92
1884,1884-03-17,76
1885,1885-03-20,78
1886,1886-03-29,87
1887,1887-04-12,101
1888,1888-04-15,105
1889,1889-04-12,101
1890,1890-03-30,88
1891,1891-04-15,104
1892,1892-04-03,93
1893,1893-03-27,85
1894,1894-04-01,90
1895,1895-04-09,98
1896,1896-03-22,81
1897,1897-03-22,80
1898,1898-04-06,95
1899,1899-03-28,86
1900,1900-04-16,105
1901,1901-04-09,98
1902,1902-04-02,91
1903,1903-03-26,84
1904,1904-04-06,96
1905,1905-03-31,89
1906,1906-03-19,77
1907,1907-04-03,92
1908,1908-04-02,92
1909,1909-04-04,93
1910,1910-03-15,73
1911,1911-03-21,79
1912,1912-03-06,65
1913,1913-03-13,71
1914,1914-03-18,76
1915,1915-03-25,83
1916,1916-03-27,86
1917,1917-04-16,105
1918,1918-03-24,82
1919,1919-03-23,81
1920,1920-03-27,86
1921,1921-03-16,74
1922,1922-03-16,74
1923,1923-03-24,82
1924,1924-03-28,87
1925,1925-03-30,88
1926,1926-03-07,65
1927,1927-03-21,79
1928,1928-03-17,76
1929,1929-03-29,87
1930,1930-03-26,84
1931,1931-03-25,83
1932,1932-03-26,85
1933,1933-03-20,78
1934,1934-03-23,81
1935,1935-03-23,81
1936,1936-03-17,76
1937,1937-02-27,57
1938,1938-03-15,73
1939,1939-03-16,74
1940,1940-03-20,79
1941,1941-03-19,77
1942,1942-03-20,78
1943,1943-03-04,62
1944,1944-03-20,79
1945,1945-03-11,69
1946,1946-03-14,72
1947,1947-03-18,76
1948,1948-03-09,68
1949,1949-03-18,76
1950,1950-03-10,68
1951,1951-03-17,75
1952,1952-03-20,79
1953,1953-03-19,77
1954,1954-03-11,69
1955,1955-03-25,83
1956,1956-03-28,87
1957,1957-03-01,59
1958,1958-02-18,48
1959,1959-02-28,58
1960,1960-03-02,61
1961,1961-02-20,50
1962,1962-03-10,68
1963,1963-03-19,77
1964,1964-02-28,58
1965,1965-03-18,76
1966,1966-02-21,51
1967,1967-02-23,53
1968,1968-03-04,63
1969,1969-03-03,61
1970,1970-03-21,79
1971,1971-03-21,79
1972,1972-02-24,54
1973,1973-03-16,74
1974,1974-02-14,44
1975,1975-01-31,30
1976,1976-03-02,61
1977,1977-02-18,48
1978,1978-03-01,59
1979,1979-02-22,52
1980,1980-02-21,51
1981,1981-03-09,67
1982,1982-01-10,9
1983,1983-03-08,66
1984,1984-03-09,68
1985,1985-03-15,73
1986,1986-03-19,77
1987,1987-03-19,77
1988,1988-02-15,45
1989,1989-02-26,56
1990,1990-02-11,41
1991,1991-01-03,2
1992,1992-02-27,57
1993,1993-02-26,56
1994,1994-02-06,36
1995,1995-02-14,44
1996,1996-03-06,65
1997,1997-02-27,57
1998,1998-02-16,46
1999,1999-03-09,67
2000,2000-02-28,58
2001,2001-02-15,45
2002,2002-02-07,37
2003,2002-12-29,-3
2004,2004-02-21,51
2005,2005-03-19,77
2006,2006-03-14,72
2007,2007-03-02,60
2008,2008-02-19,49
2009,2009-03-06,64
2010,2010-03-15,73
2011,2011-02-28,58
2012,2012-03-13,72
2013,2013-03-21,79
2014,2014-03-05,63
2015,2015-03-13,71
2016,2016-03-16,75
2017,2017-03-11,69
2018,2018-03-24,82
2019,2019-03-12,70
2020,2020-03-08,67
2021,2021-03-12,70
2022,2022-03-10,68
2023,2023-03-09,67
2024,2024-03-03,62
